"profile_id","lane","region","target_profile","tag","script_or_orthography","likely_reader_cohort","local_status","sequence_state","g_id","g_src","g_use","g_audit","g_tech","g_harm","R","S","A","N","V","P","F","D","confidence","evidence_ids","decision_caveat"
"GAP-PC-CHK-FM","endangered_prestige","Micronesia","Chuukese","chk-Latn-FM","Latin orthography; Chuuk educational register","Chuukese-first readers not comfortably served by English","missing","community-route-first","pass","unknown","unknown","unknown","pass","partial","R1","S4","A2-3","N4","V3","P4","F1-2","D2","low","MIR-E001;MIR-E032;MIR-E033;MIR-E042","Do not infer coverage from other Micronesian languages or English official status"
"GAP-EU-RMY","endangered_prestige","Europe / global diaspora","Vlax Romani","rmy-Latn","Dialect and country-specific orthographic profiles required","Vlax Romani community readers not comfortably served by dominant state languages","missing","community-route-first","pass","partial","unknown","unknown","pass","partial","RU-R2","S4","A2","N4","V4","P4","F2","D3","medium","MIR-E001;MIR-E053;MIR-E054;MIR-E042;MIR-E069","Romani is not one standard; use exact dialect/community governance"
"GAP-EU-RMN","endangered_prestige","Balkans / diaspora","Balkan Romani","rmn-Latn","Country and dialect profile must be fixed","Balkan Romani community readers not comfortably served by dominant state languages","missing","community-route-first","pass","partial","unknown","unknown","pass","partial","R1-2","S4","A2","N4","V4","P4","F2","D3","medium","MIR-E053;MIR-E054;MIR-E042;MIR-E069","No coverage credit from Vlax Romani"
"GAP-EU-RMO","endangered_prestige","Central Europe / diaspora","Sinte Romani","rmo-Latn","Community orthography and publication practice require agreement","Sinte Romani community readers","missing","community-route-first","pass","unknown","unknown","unknown","pass","partial","R1","S4","A1-2","N4","V4","P4","F1-2","D3","medium","MIR-E053;MIR-E054;MIR-E042;MIR-E069","Community route precedes written-register design"
"GAP-EU-YDD","endangered_prestige","Europe / global diaspora","Eastern Yiddish","ydd-Hebr","Hebrew script; Yiddish orthographic standard and community register","Yiddish-first and Yiddish-medium readers not comfortably served by English, Hebrew or other state languages","missing","community-route-first","pass","partial","unknown","unknown","partial","partial","R1-2","S3-4","A2-3","N3","V4","P4","F2-3","D2","low","MIR-E001;MIR-E042;MIR-E043;MIR-E069","Yiddish must remain outside a Latin-script Inter-Germanic design"
"GAP-EU-PDT","endangered_prestige","Global Mennonite diaspora","Plautdietsch","pdt-Latn","Orthography and country/community register vary","Plautdietsch-first readers in Mennonite communities","missing","community-route-first","pass","unknown","unknown","unknown","pass","partial","R1-2","S4","A2","N3-4","V3","P4","F1-2","D3","low","MIR-A009;MIR-A010;MIR-E048;MIR-E049;MIR-E042","Do not assume Standard German, Dutch, English or a pan-Germanic surface is comfortable coverage"
"GAP-EU-PDC","endangered_prestige","North American diaspora","Pennsylvania German","pdc-Latn","Community orthography and primarily oral use require exact intervention choice","Pennsylvania German community readers and learners","missing","community-route-first","pass","unknown","unknown","unknown","pass","partial","R1","S4","A1-2","N2-3","V4","P4","F1","D3","low","MIR-A009;MIR-A010;MIR-E048;MIR-E049;MIR-E042","Audio/bilingual delivery may be more defensible than a standalone written edition"
"GAP-EU-GEH","endangered_prestige","North American diaspora","Hutterite German","geh-Latn","Community writing practice and primarily oral register require resolution","Hutterite community readers","missing","community-route-first","pass","unknown","unknown","unknown","pass","partial","R1","S4","A1-2","N3","V4","P4","F1","D3","low","MIR-A009;MIR-A010;MIR-E048;MIR-E049;MIR-E042","A shared West-Germanic register cannot substitute for community evidence"
"GAP-EU-FY-NL","endangered_prestige","Western Europe","Western Frisian","fy-Latn-NL","Standard West Frisian orthography","Frisian-first and Frisian-medium readers in the Netherlands","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","pass","R1-2","S2-3","A4","N1-2","V3","P4","F3","D1","medium","MIR-A010;MIR-E048;MIR-E049;MIR-E042;MIR-E043","High Dutch/English overlap lowers raw access; prestige-domain value remains distinct"
"GAP-EU-FRR-DE","endangered_prestige","Western Europe","Northern Frisian","frr-Latn-DE","Multiple island/mainland orthographies require exact variety selection","Northern Frisian community readers","missing","hold-flattening-risk","partial","unknown","unknown","unknown","pass","veto","R1","S4","A1-2","N2-3","V4","P4","F1","D4","medium","MIR-A010;MIR-E048;MIR-E049;MIR-E042;MIR-E069","Northern Frisian is not one production target; select an exact variety with community authority"
"GAP-EU-STQ-DE","endangered_prestige","Western Europe","Saterfrisian","stq-Latn-DE","Saterfrisian orthographic route","Saterfrisian community readers and learners","missing","community-route-first","pass","unknown","unknown","unknown","pass","partial","R1","S4","A1-2","N2-3","V4","P4","F1-2","D2","low","MIR-A010;MIR-E048;MIR-E049;MIR-E042","Small exact community; prestige/revitalization lane only"
"GAP-EU-NDS-DE","endangered_prestige","Western Europe","Low German exact regional standard unresolved","nds-Latn-DE","Regional standards and oral continua require target resolution","Low German readers and regional-language communities","missing","hold-flattening-risk","fail","unknown","unknown","unknown","pass","veto","R2","S3-4","A2","N1-2","V3","P4","F1-2","D4","low","MIR-A009;MIR-A010;MIR-E048;MIR-E049;MIR-E042;MIR-E069","Low German is not a single unproblematic standard; no Inter-Germanic substitute"
"GAP-EU-SCO-GB","endangered_prestige","Western Europe","Scots exact written profile","sco-Latn-GB","Modern Scots spelling and dialect policy require explicit choice","Scots readers and cultural-language communities","missing","target-resolution-first","partial","unknown","unknown","unknown","pass","partial","R2-3","S3","A3","N1-2","V3","P4","F2","D3","low","MIR-A009;MIR-E048;MIR-E049;MIR-E042;MIR-E069","English overlap is high and standardization contested; prestige value is separate from access count"
"GAP-EU-FO-FO","endangered_prestige","North Atlantic","Faroese national standard","fo-Latn-FO","Standard Faroese orthography","Faroese-first readers not comfortably served by Danish or English","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","pass","R1","S2-3","A4","N2-3","V2","P4","F3","D1","medium","MIR-A010;MIR-E048;MIR-E049;MIR-E042;MIR-E043","Audit Faroese independently; a North-Germanic bridge offers little additional justification"
"GAP-EU-SE-NO","endangered_prestige","Sápmi","Northern Sámi","se-Latn-NO","Northern Sámi standard; country terminology profile","Northern Sámi readers in Norway; Sweden/Finland profiles separate","missing","community-route-first","pass","partial","unknown","unknown","pass","pass","R1","S3","A4","N3","V4","P4","F3","D2","high","MIR-E055;MIR-E056;MIR-E042;MIR-E043;MIR-E069","Do not collapse Sámi languages or national education systems"
"GAP-EU-SMN-FI","endangered_prestige","Sápmi","Inari Sámi","smn-Latn-FI","Inari Sámi standard","Inari Sámi community and education readers","missing","community-route-first","pass","partial","unknown","unknown","pass","pass","R1","S4","A3","N4","V4","P4","F2-3","D1","high","MIR-E055;MIR-E056;MIR-E042;MIR-E043","Exact small community with an institutional education route"
"GAP-EU-SMS-FI","endangered_prestige","Sápmi","Skolt Sámi","sms-Latn-FI","Skolt Sámi standard","Skolt Sámi community and education readers","missing","community-route-first","pass","partial","unknown","unknown","pass","pass","R1","S4","A3","N4","V4","P4","F2-3","D1","high","MIR-E055;MIR-E056;MIR-E042;MIR-E043","No coverage credit from Northern or Inari Sámi"
"GAP-EU-RUE","endangered_prestige","Carpathian region / diaspora","Rusyn exact national profile","rue-Cyrl","Country-specific standards in Slovakia, Serbia, Poland and Ukraine require separation","Rusyn readers not comfortably served by Ukrainian, Russian or Slovak","researched_only","target-resolution-first","partial","unknown","unknown","unknown","pass","partial","R1-2","S4","A2-3","N3","V4","P4","F1-2","D3","medium","MIR-A007;MIR-A027;MIR-E042;MIR-E069","Interslavic and neighboring standards receive zero automatic coverage credit"
"GAP-EU-HSB-DE","endangered_prestige","Central Europe","Upper Sorbian","hsb-Latn-DE","Standard Upper Sorbian orthography","Upper Sorbian community and education readers","researched_only","source-acquisition-first","pass","partial","unknown","unknown","pass","pass","R1","S3-4","A4","N2-3","V4","P4","F3","D1","medium","MIR-A007;MIR-A027;MIR-E042;MIR-E043","No coverage credit from Interslavic or Lower Sorbian"
"GAP-EU-DSB-DE","endangered_prestige","Central Europe","Lower Sorbian","dsb-Latn-DE","Standard Lower Sorbian orthography","Lower Sorbian community and education readers","researched_only","source-acquisition-first","pass","partial","unknown","unknown","pass","pass","R1","S4","A3-4","N3","V4","P4","F2-3","D1","medium","MIR-A007;MIR-A027;MIR-E042;MIR-E043","No coverage credit from Interslavic or Upper Sorbian"
"GAP-EU-EU-ES","endangered_prestige","Western Europe","Basque standard Euskara Batua","eu-Latn-ES","Euskara Batua; regional terminology profile","Basque-first and Basque-medium readers","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","pass","R2","S2","A4","N2-3","V3","P3","F4","D1","low","MIR-E001;MIR-E042;MIR-E043;MIR-E069","Mature standard and material may make this lower scarcity than other prestige-lane profiles"
"GAP-SIGN-ASE-US","accessibility_prestige","Signed-language access","American Sign Language","ase","ASL video-spatial language; no written-language substitute","ASL-primary Deaf readers in the United States","missing","community-route-first","pass","unknown","unknown","unknown","partial","partial","R2-3","S4","A1","N4","V2","P4","F2","D2","medium","MIR-A011;MIR-A015;MIR-E035;MIR-E039;MIR-E057;MIR-E042","Requires Deaf mathematical signers and video review; English captions do not provide ASL access"
"GAP-SIGN-INS-IN","accessibility_prestige","Signed-language access","Indian Sign Language","ins","Indian Sign Language video-spatial language","ISL-primary Deaf readers in India","missing","community-route-first","pass","unknown","unknown","unknown","partial","partial","R3","S4","A1","N4","V3","P4","F1-2","D2","high","MIR-E035;MIR-E039;MIR-E057;MIR-E058;MIR-E042","Large plausible marginal cohort; community authority and mathematical sign lexicon are gating"
"GAP-SIGN-BZS-BR","accessibility_prestige","Signed-language access","Brazilian Sign Language / Libras","bzs","Libras video-spatial language","Libras-primary Deaf readers in Brazil","missing","community-route-first","pass","unknown","unknown","unknown","partial","partial","R2-3","S4","A1","N4","V2","P4","F2","D2","low","MIR-E035;MIR-E039;MIR-E057;MIR-E042","Portuguese text is not direct Libras coverage"
"GAP-SIGN-MFS-MX","accessibility_prestige","Signed-language access","Mexican Sign Language","mfs","LSM video-spatial language","LSM-primary Deaf readers in Mexico","missing","community-route-first","pass","unknown","unknown","unknown","partial","partial","R2","S4","A1","N4","V3","P4","F1-2","D2","high","MIR-E035;MIR-E039;MIR-E057;MIR-E059;MIR-E042","Spanish text is not direct LSM coverage"
"GAP-SIGN-SFS-ZA","accessibility_prestige","Signed-language access","South African Sign Language","sfs","SASL video-spatial language","SASL-primary Deaf readers in South Africa","missing","community-route-first","pass","unknown","unknown","unknown","partial","partial","R2","S4","A1","N4","V3","P4","F1-2","D2","low","MIR-E035;MIR-E039;MIR-E057;MIR-E042","Multiple written official languages do not replace SASL"
"GAP-SIGN-NSI-NG","accessibility_prestige","Signed-language access","Nigerian Sign Language","nsi","Nigerian Sign Language video-spatial language","NSL-primary Deaf readers in Nigeria","missing","community-route-first","pass","unknown","unknown","unknown","partial","partial","RU-R2","S4","A1","N4","V3","P4","F1","D3","high","MIR-E035;MIR-E039;MIR-E057;MIR-E060;MIR-E042","Exact community variation, signer cohort and review route require discovery"
"GAP-SIGN-XKI-KE","accessibility_prestige","Signed-language access","Kenyan Sign Language","xki","Kenyan Sign Language video-spatial language","KSL-primary Deaf readers in Kenya","missing","community-route-first","pass","unknown","unknown","unknown","partial","partial","RU-R2","S4","A1","N4","V3","P4","F1","D3","high","MIR-E035;MIR-E039;MIR-E057;MIR-E061;MIR-E042","Swahili or English text is not direct KSL coverage"
"GAP-SIGN-ILS","negative_control","Signed-language access","International Sign comparator","ils","Contact-sign video register","Experienced cross-border signers only","missing","deprioritize-negative-control","pass","unknown","unknown","unknown","partial","partial","R0-R1","S4","A1","N1","V0","P1","F1","D3","medium","MIR-E035;MIR-E039;MIR-E057;MIR-E042","International Sign cannot be counted as coverage for national sign languages"
"GAP-NC-EN","negative_control","Global","English","en-Latn","Richly served international scientific standard","Readers already comfortable with English","partially_covered","deprioritize-negative-control","pass","pass","partial","partial","pass","pass","R0","S0","A4","N0","V0","P0","F4","D0","high","MIR-A023;MIR-E001;MIR-E042;MIR-E043","Controls incremental-access calibration; it is not a claim that every English user is served"
"GAP-NC-DE","negative_control","Europe","German","de-Latn-DE","Richly served national scientific standard","Readers already comfortable with German or English","partially_covered","deprioritize-negative-control","pass","pass","partial","partial","pass","pass","R0-R1","S0-1","A4","N0-1","V0","P0-1","F4","D0","high","MIR-A023;MIR-E048;MIR-E049;MIR-E042;MIR-E043","German is a source authority in the corpus, not a high marginal-access target"
"GAP-NC-FR","negative_control","Global Francophone","French","fr-Latn","Richly served international scientific standard","Readers already comfortable with French","partially_covered","deprioritize-negative-control","pass","pass","partial","partial","pass","pass","R0-R1","S0-1","A4","N0-1","V0","P0-1","F4","D0","high","MIR-A025;MIR-E001;MIR-E042;MIR-E043","A French edition may still fill a work-specific gap, but language-level scarcity is low"
"GAP-NC-ES","negative_control","Global Hispanophone","Spanish","es-Latn","Richly served international scientific standard","Readers already comfortable with Spanish","partially_covered","deprioritize-negative-control","pass","pass","partial","partial","pass","pass","R0-R1","S0-1","A4","N0-1","V0","P0-1","F4","D0","high","MIR-A025;MIR-E025;MIR-E042;MIR-E043","Spanish remains a baseline comparator for Indigenous American and creole profiles"
"GAP-NC-NL","negative_control","Europe","Dutch","nl-Latn-NL","Richly served national scientific standard","Readers already comfortable with Dutch or English","missing","deprioritize-negative-control","pass","pass","partial","partial","pass","pass","R0-R1","S0-1","A4","N0-1","V0","P0","F4","D0","high","MIR-E048;MIR-E049;MIR-E042;MIR-E043","Do not prioritize a Dutch edition over actual West-Germanic gaps on language-level scarcity grounds"
"GAP-NC-SV","negative_control","Europe","Swedish","sv-Latn-SE","Richly served national scientific standard","Readers already comfortable with Swedish or English","missing","deprioritize-negative-control","pass","pass","partial","partial","pass","pass","R0-R1","S0-1","A4","N0-1","V0","P0","F4","D0","high","MIR-E048;MIR-E049;MIR-E042;MIR-E043","Calibrates why a North-Germanic bridge has low marginal-access priority"
"GAP-CMP-JA","local_comparator","East Asia","Japanese","ja-Jpan-JP","Japanese mixed script; active local programme","Japanese readers","partially_covered","evidence-ready","pass","pass","unknown","unknown","pass","partial","R3-4","S1","A4","N2","V0","P1","F4","D0","high","MIR-A021;MIR-E043","Rich global scientific material plus partial local editions make this a coverage comparator, not a missing-language priority"
"GAP-CMP-TR","local_comparator","West Asia","Turkish","tr-Latn-TR","Turkish national standard; complete local Open Logic edition","Turkish readers","already_covered","evidence-ready","pass","pass","unknown","unknown","pass","partial","R3-4","S1-2","A4","N2","V0","P1","F4","D0","high","MIR-A031;MIR-E052;MIR-E043","The completed one-work local edition does not cover other works or other Turkic languages"
