gross_ceiling_display_order,portfolio_position,intervention_id,intervention_type,intervention_name,target_profiles,output_count,territory_or_scope,portfolio_lane,population_low,population_base,population_high,source_population_low_reported,source_population_high_reported,population_interval_status,population_measure,population_years,population_observation_ids,population_source_ids,profile_authority_source_ids,profile_population_attribution,source_confidence,source_tier,deduplication_rule,evidence_caveat
102,102,OBS-GRG-US-002,natural_language_edition,Dilzhe'e Apache dictionary spelling profile with its documented tone and consonant adaptations,apw-Latn-US,1,United States,small_population_prestige_domain_screen,11767,12730,13693,11767,13693,source_interval_or_exact_bounds,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-002,GRG-S001,S-ACS;S-IANA;S-APW,ACS Western Apache pools Dilzhe'e / San Carlos / White Mountain audiences; interval is a ceiling for the Dilzhe'e edition,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count. Profile recovery: ACS Western Apache pools Dilzhe'e / San Carlos / White Mountain audiences; interval is a ceiling for the Dilzhe'e edition Caveat: No coverage of other Western Apache varieties is claimed."
103,103,OBS-GRG-US-016,natural_language_edition,Central Southwestern Ojibwe/Chippewa edition in the Ojibwe People's Dictionary Double-Vowel system,ciw-Latn-US,1,United States,small_population_prestige_domain_screen,9867,10750,11633,9867,11633,source_interval_or_exact_bounds,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-016,GRG-S001,S-ACS;S-IANA;S-OJ,ACS Chippewa is broader than the Central Southwestern dictionary variety; interval is a ceiling,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count. Profile recovery: ACS Chippewa is broader than the Central Southwestern dictionary variety; interval is a ceiling Caveat: Other Chippewa varieties and orthographies are not claimed covered."
104,104,OBS-GRG-US-005,natural_language_edition,Lakota Language Consortium consistent phonemic teaching orthography edition,lkt-Latn-US,1,United States,small_population_prestige_domain_screen,9835,10590,11345,9835,11345,source_interval_or_exact_bounds,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-005,GRG-S001,S-ACS;S-IANA;S-LKT,ACS Lakota does not report orthographic affiliation; interval is a ceiling for this exact edition,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count. Profile recovery: ACS Lakota does not report orthographic affiliation; interval is a ceiling for this exact edition Caveat: Selection defines one production edition and does not assert community-wide orthographic consensus."
105,105,OBS-GRG-US-007,natural_language_edition,Cherokee syllabary edition,chr-Cher-US,1,United States,small_population_prestige_domain_screen,9552,10440,11328,9552,11328,source_interval_or_exact_bounds,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-007,GRG-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
106,107,OBS-GRG-US-008,natural_language_edition,Zuni/Shiwi school-literacy profile,zun-Latn-US,1,United States,small_population_prestige_domain_screen,7229,8109,8989,7229,8989,source_interval_or_exact_bounds,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-008,GRG-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
107,109,OBS-GRG-AU-001,natural_language_edition,Australian Kriol practical written standard,rop-Latn-AU,1,Australia,small_population_prestige_domain_screen,7478,7478,7478,7478,7478,source_interval_or_exact_bounds,census_language_used_at_home_persons,2021,GRG-AU-001,GRG-S002,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
108,108,OBS-GRG-US-019,natural_language_edition,Pohnpei State standard Pohnpeian,pon-Latn-FM,1,United States,small_population_prestige_domain_screen,6198,7412,8626,6198,8626,source_interval_or_exact_bounds,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-019,GRG-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
109,120,OBS-GRG-US-006,natural_language_edition,Two-output Choctaw bundle: Choctaw Nation of Oklahoma instructional alphabet plus Mississippi Band modern Byington-variant alphabet,cho-Latn-US|cho-Latn-US,2,United States,small_population_prestige_domain_screen,6523,7260,7997,6523,7997,source_interval_or_exact_bounds,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-006,GRG-S001,S-ACS;S-IANA;S-CHO-OK;S-CHO-MS,One ACS Choctaw observation cannot be split between tribal standards and must never be multiplied by two,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count. Profile recovery: One ACS Choctaw observation cannot be split between tribal standards and must never be multiplied by two Caveat: BCP 47 cannot distinguish the two tribal editions; edition identity is carried by the named authority."
110,110,OBS-GRG-US-009,natural_language_edition,Third Mesa Hopi edition using the Hopi Dictionary Project / Learn Hopi orthography,hop-Latn-US,1,United States,small_population_prestige_domain_screen,6344,7105,7866,6344,7866,source_interval_or_exact_bounds,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-009,GRG-S001,S-ACS;S-IANA;S-HOPI,ACS Hopi pools mesa/community varieties; interval is a ceiling for the Third Mesa edition,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count. Profile recovery: ACS Hopi pools mesa/community varieties; interval is a ceiling for the Third Mesa edition Caveat: First Mesa and Second Mesa localization is not claimed."
111,111,OBS-GRG-US-010,natural_language_edition,Tohono O'odham in official Alvarez-Hale orthography,ood-Latn-US,1,United States,small_population_prestige_domain_screen,5672,6343,7014,5672,7014,source_interval_or_exact_bounds,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-010,GRG-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
112,112,OBS-GRG-US-024,natural_language_edition,Standard Fijian / Vosa Vakaviti school register,fj-Latn-FJ,1,United States,small_population_prestige_domain_screen,5194,6229,7264,5194,7264,source_interval_or_exact_bounds,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-024,GRG-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
113,113,OBS-GRG-US-011,natural_language_edition,North Slope / North Alaskan Inupiatun edition using the accepted UAF/ANLA orthography and definitive North Slope lexicon,esi-Latn-US,1,United States,small_population_prestige_domain_screen,5302,5819,6336,5302,6336,source_interval_or_exact_bounds,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-011,GRG-S001,S-ACS;S-IANA;S-INUPIAQ;S-INUPIAQ-NS,ACS Inupiaq pools North Alaskan and Seward Peninsula varieties; interval is a ceiling for the esi edition,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count. Profile recovery: ACS Inupiaq pools North Alaskan and Seward Peninsula varieties; interval is a ceiling for the esi edition Caveat: Using esi replaces the non-exact ik macrolanguage tag; no Seward Peninsula coverage is claimed."
114,60,OBS-GRG-PL-010,natural_language_edition,Standard Lithuanian,lt-Latn-LT,1,Poland,small_population_prestige_domain_screen,5422,5422,5422,5422,5422,source_interval_or_exact_bounds,census_languages_used_at_home_multiple_response_persons,2021-03-31,GRG-PL-010,GRG-S006,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
115,114,OBS-GRG-US-031,natural_language_edition,Mam in ALMG normative orthography,mam-Latn-GT,1,United States,small_population_prestige_domain_screen,3947,5062,6177,3947,6177,source_interval_or_exact_bounds,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-031,GRG-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
116,115,OBS-GRG-US-013,natural_language_edition,Odawa edition using the Nishnaabemwin Odawa and Eastern Ojibwe dictionary's documented Double-Vowel profile,otw-Latn-US,1,United States,small_population_prestige_domain_screen,4099,4888,5677,4099,5677,source_interval_or_exact_bounds,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-013,GRG-S001,S-ACS;S-IANA;S-ODAWA-DICT;S-ODAWA-TRIBAL,ACS Ottawa does not identify community or dictionary-standard competence; interval is a ceiling,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count. Profile recovery: ACS Ottawa does not identify community or dictionary-standard competence; interval is a ceiling Caveat: Exact dictionary profile is reproducible; no universal Odawa standard is asserted."
117,116,OBS-GRG-US-020,natural_language_edition,Palauan national school-literacy register,pau-Latn-PW,1,United States,small_population_prestige_domain_screen,4023,4670,5317,4023,5317,source_interval_or_exact_bounds,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-020,GRG-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
118,117,OBS-GRG-AU-002,natural_language_edition,Djambarrpuyŋu written educational profile,djr-Latn-AU,1,Australia,small_population_prestige_domain_screen,3870,3870,3870,3870,3870,source_interval_or_exact_bounds,census_language_used_at_home_persons,2021,GRG-AU-002,GRG-S002,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
119,118,OBS-GRG-US-032,natural_language_edition,K'iche' in ALMG normative orthography,quc-Latn-GT,1,United States,small_population_prestige_domain_screen,2944,3787,4630,2944,4630,source_interval_or_exact_bounds,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-032,GRG-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
120,119,OBS-GRG-US-014,natural_language_edition,Apsáalooke community curriculum profile,cro-Latn-US,1,United States,small_population_prestige_domain_screen,3194,3650,4106,3194,4106,source_interval_or_exact_bounds,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-014,GRG-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
121,121,OBS-GRG-AU-006,natural_language_edition,Pitjantjatjara Aṉangu school profile,pjt-Latn-AU,1,Australia,small_population_prestige_domain_screen,3458,3458,3458,3458,3458,source_interval_or_exact_bounds,census_language_used_at_home_persons,2021,GRG-AU-006,GRG-S003,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
122,122,OBS-GRG-US-035,natural_language_edition,Honduras SECAPPH Garifuna educational edition using its published Garifuna alphabet,cab-Latn-HN,1,United States,small_population_prestige_domain_screen,2422,3080,3738,2422,3738,source_interval_or_exact_bounds,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-035,GRG-S001,S-ACS;S-IANA;S-GARIFUNA-HN;S-GARIFUNA-ALPH,US ACS Garifuna does not identify Honduras / Belize / Guatemala / Nicaragua origin; interval is only a ceiling for the Honduras edition,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count. Profile recovery: US ACS Garifuna does not identify Honduras / Belize / Guatemala / Nicaragua origin; interval is only a ceiling for the Honduras edition Caveat: No coverage of the other national educational profiles is claimed."
123,123,OBS-GRG-AU-003,natural_language_edition,Warlpiri practical school orthography,wbp-Latn-AU,1,Australia,small_population_prestige_domain_screen,2624,2624,2624,2624,2624,source_interval_or_exact_bounds,census_language_used_at_home_persons,2021,GRG-AU-003,GRG-S002,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
124,124,OBS-GRG-US-015,natural_language_edition,Sisseton-Wahpeton / Eastern Dakota edition in the tribal-college documented University of Minnesota orthography,dak-Latn-US,1,United States,small_population_prestige_domain_screen,2222,2611,3000,2222,3000,source_interval_or_exact_bounds,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-015,GRG-S001,S-ACS;S-IANA;S-DAKOTA-DIO;S-DAKOTA-SWC,ACS Dakota pools Eastern and Western varieties; interval is a ceiling for the Sisseton-Wahpeton edition,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count. Profile recovery: ACS Dakota pools Eastern and Western varieties; interval is a ceiling for the Sisseton-Wahpeton edition Caveat: Western Yankton/Yanktonai coverage is not claimed."
125,125,OBS-GRG-US-033,natural_language_edition,Q'anjob'al in ALMG normative orthography,kjb-Latn-GT,1,United States,small_population_prestige_domain_screen,1532,2253,2974,1532,2974,source_interval_or_exact_bounds,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-033,GRG-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
126,127,OBS-GRG-AU-004,natural_language_edition,Murrinh-Patha community dictionary/school profile,mwf-Latn-AU,1,Australia,small_population_prestige_domain_screen,2081,2081,2081,2081,2081,source_interval_or_exact_bounds,census_language_used_at_home_persons,2021,GRG-AU-004,GRG-S002,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
127,126,OBS-GRG-US-022,natural_language_edition,Kosrae State standard Kosraean,kos-Latn-FM,1,United States,small_population_prestige_domain_screen,1390,2051,2712,1390,2712,source_interval_or_exact_bounds,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-022,GRG-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
128,129,OBS-GRG-AU-005,natural_language_edition,Alyawarr community educational profile,aly-Latn-AU,1,Australia,small_population_prestige_domain_screen,1951,1951,1951,1951,1951,source_interval_or_exact_bounds,census_language_used_at_home_persons,2021,GRG-AU-005,GRG-S002,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
129,128,OBS-GRG-US-034,natural_language_edition,Maayat'aan (Yucatec Maya) in INALI writing standard,yua-Latn-MX,1,United States,small_population_prestige_domain_screen,1155,1708,2261,1155,2261,source_interval_or_exact_bounds,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-034,GRG-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
130,130,OBS-GRG-US-028,natural_language_edition,Two-output bundle: Aruba official Papiamento spelling plus Curaçao/Bonaire official Papiamentu phonological spelling,pap-Latn-AW|pap-Latn-CW|pap-Latn-BQ,2,United States,small_population_prestige_domain_screen,950,1422,1894,950,1894,source_interval_or_exact_bounds,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,2017-2021,GRG-US-028,GRG-S001,S-ACS;S-IANA;S-PAP-FACT;S-PAP-AW;S-PAP-CW,US ACS Papiamento does not identify island origin; the one interval is a pooled ceiling and must never be multiplied across outputs,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count. Profile recovery: US ACS Papiamento does not identify island origin; the one interval is a pooled ceiling and must never be multiplied across outputs Caveat: Three deployment tags are preserved while two localized byte editions are costed."
131,131,OBS-GRG-AU-007,natural_language_edition,Gurindji community dictionary profile,gue-Latn-AU,1,Australia,small_population_prestige_domain_screen,623,623,623,623,623,source_interval_or_exact_bounds,census_language_used_at_home_persons,2021,GRG-AU-007,GRG-S004,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
132,132,OBS-GRG-AU-010,natural_language_edition,Warumungu community educational profile,wrm-Latn-AU,1,Australia,small_population_prestige_domain_screen,424,424,424,424,424,source_interval_or_exact_bounds,census_language_used_at_home_persons,2021,GRG-AU-010,GRG-S005,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
133,133,OBS-GRG-AU-008,natural_language_edition,Ngarinyman community educational profile,nbj-Latn-AU,1,Australia,small_population_prestige_domain_screen,313,313,313,313,313,source_interval_or_exact_bounds,census_language_used_at_home_persons,2021,GRG-AU-008,GRG-S004,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
134,134,OBS-GRG-AU-009,natural_language_edition,Wubuy (source label Nunggubuyu) community profile,nuy-Latn-AU,1,Australia,small_population_prestige_domain_screen,283,283,283,283,283,source_interval_or_exact_bounds,census_language_used_at_home_persons,2021,GRG-AU-009,GRG-S004,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
