exposure_position,wave,allocation_lane,entry_id,entry_type,entry_name,target_profiles,territory_or_scope,component_profile_ids,population_context,population_denominator_classes,population_source_ids,direct_reader_reach_claim,shared_core_compute_reuse,education_stages,needs_profile_ids,named_output_profile_ids,why_now,first_bounded_package,follow_on_package,prerequisite_route,existing_supply_state,delivery_formats,teacher_independent_requirements,accessibility_requirements,non_overlap_rule,package_evidence_status,recommendation_status,ordering_basis,evidence_confidence,source_urls,uncertainty
76,wave_08_mixed_allocation_lanes,regional_depth,EXP-013,natural_language,Ethiopia Somali Latin-script edition,so-Latn-ET,Ethiopia,,"Somali: 4,609,274 [census_mother_tongue_persons; 2007]",census_mother_tongue_persons,POP-ET-003;PM-S020,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",secondary through first-year tertiary,,so-Latn-ET,large exact Ethiopia residual,"Produce the registered MV-1 Minimum viable quantitative curriculum for this exact named output: Algebra and Trigonometry 2e; adaptation D2; include placement diagnostics, complete worked answers, editable source, and download-once delivery.","After the bounded MV-1 package, extend only after an itemized local supply and stage audit; preserve the same named profile and non-overlap rules.",Diagnostic entry and any source-stated prerequisites -> MV-1.,External and local supply not yet assessed for this exact output.,AX-HTML;AX-PDF;AX-OFFLINE,"Placement checks, explicit prerequisite repair, complete worked examples and answers, self-check feedback, and no required teacher or live platform.","Semantic headings and mathematics/MathML, keyboard navigation, captions/transcripts for media, reflow, tested fonts and text extraction, low-bandwidth assets, and printable fallback.",Separate 2007 mother-tongue cell; do not add cross-border observations or family-language proxies without explicit disjoint-universe accounting.,registered_curriculum_package_provisional_local_need_fit,commission_after_exact_work_stage_format_scope,"Declared lane cycle regional_depth; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier registered_provisional; least-dispatched compatible typed view unknown|unknown|unknown; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,PM-S020;TP-S001-IANA;TP-S002-CLDR,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
77,wave_08_mixed_allocation_lanes,high_reach_underserved,GLB-053,learned_spoken_standard,"Putonghua, Mainland spoken standard",cmn-Hans-CN for aligned text/audio; cmn-CN for speech-only metadata,Eastern Asia,GLB-053,"Putonghua, Mainland spoken standard: 1,139,587,786 (interval 1,139,517,198–1,139,658,374) [functional_language_ability_or_estimate; 2020 census and 2020 survey] | Putonghua, Mainland spoken standard: 1,411,778,724 [territory_all_residents_ceiling; 2020-11-01]",functional_language_ability_or_estimate;territory_all_residents_ceiling,SUP-040;SUPSRC-CN-MOE-PUTONGHUA-NBS-2020;POP-CN-001;PM-S022,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",target/profile resolution before stage-specific production,,cmn-Hans-CN for aligned text/audio; cmn-CN for speech-only metadata,"The spoken learned standard is a separate modality profile from Standard Written Chinese; it is relevant to narration, lectures, audio worked examples and spoken scaffolding.","Register spoken/audio outputs separately, preserve text/audio alignment, and award no direct written-reader or Sinitic-variety reach from this profile.","After target/profile resolution, select a bounded content package from the registered source inventory.","Resolve the exact target, population and existing supply before assigning a curriculum prerequisite chain.","Large broadcast and platform supply exists; no-account open/offline mathematical audio, transcript and speech-access coverage remains an exact format audit.",research dossier and source inventory only until the target profile is resolved,"For any later content edition: diagnostics, complete worked answers, self-check feedback and no mandatory teacher or live service.","For any later edition: semantic structure and mathematics, keyboard/reflow support, tested fonts/text extraction, captions/transcripts and printable low-bandwidth fallback.","The 1,139,587,786 sensitivity is 80.72% of the mainland census denominator, not an official speaker count, L1 count, home-language count, literacy measure or academic-comfort count. It is wholly nonadditive with zh-Hans-CN and all Sinitic profiles.",profile_resolution_or_exact_residual_action_from_expected_universe,commission_after_exact_work_stage_format_scope,"Declared lane cycle high_reach_underserved; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier profile_or_residual_resolution; least-dispatched compatible typed view functional_language_ability_or_estimate|Mainland residents under a cross-source communication-prevalence sensitivity|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,PRC 2020 census denominator; MOE/State Language Commission 2020 Putonghua prevalence survey,"Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. The 1,139,587,786 sensitivity is 80.72% of the mainland census denominator, not an official speaker count, L1 count, home-language count, literacy measure or academic-comfort count. It is wholly nonadditive with zh-Hans-CN and all Sinitic profiles."
78,wave_08_mixed_allocation_lanes,endangered_prestige,NAT-108,natural_language,Bislama,bi-Latn-VU,Vanuatu,,unresolved—no comparable source-defined population count,unresolved,,No direct reach is assigned until an exact source-defined population universe is registered.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",upper-secondary through undergraduate formal reasoning,,bi-Latn-VU,Small national bridge candidate.,"Produce the registered FR-1 Formal-reasoning foundation for this exact named output: methods plus sets-functions-relations plus propositional; adaptation D2; include placement diagnostics, complete worked answers, editable source, and download-once delivery.","After the bounded FR-1 package, extend only after an itemized local supply and stage audit; preserve the same named profile and non-overlap rules.",Diagnostic entry and any source-stated prerequisites -> FR-1.,No edition recorded in the bounded project inventory; external/local educational supply has not been assessed by this field.,AX-HTML;AX-PDF;AX-OFFLINE,"Placement checks, explicit prerequisite repair, complete worked examples and answers, self-check feedback, and no required teacher or live platform.","Semantic headings and mathematics/MathML, keyboard navigation, captions/transcripts for media, reflow, tested fonts and text extraction, low-bandwidth assets, and printable fallback.",No Tok Pisin or English automatic coverage.,registered_curriculum_package_provisional_local_need_fit,commission_after_exact_work_stage_format_scope,"Declared lane cycle endangered_prestige; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier registered_provisional; least-dispatched compatible typed view unknown|unknown|unknown; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population/profile evidence unresolved; local need fit provisional; marginal increment unmeasured,ACE-A021,No direct reach is assigned until an exact source-defined population universe is registered.
79,wave_08_mixed_allocation_lanes,high_reach_underserved,GLB-026,learned_lingua_franca,Global/French regional localized standards,fr-Latn with country overlays,Global,GLB-026,"Global/French regional localized standards: 348,000,000 [functional_language_ability_or_estimate; 2025] | Global/French regional localized standards: 396,000,000 [functional_language_ability_or_estimate; 2025]",functional_language_ability_or_estimate,SUP-012;SUPSRC-OIF-FRENCH-2025;SUP-013,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",target/profile resolution before stage-specific production,,fr-Latn with country overlays,"Keep French as learned-language overlap and localization architecture, not unique reach.",Audit country/stage-specific residuals and local-language bridges.,"After target/profile resolution, select a bounded content package from the registered source inventory.","Resolve the exact target, population and existing supply before assigning a curriculum prerequisite chain.",High global supply with regional licensing/access/comfort gaps.,research dossier and source inventory only until the target profile is resolved,"For any later content edition: diagnostics, complete worked answers, self-check feedback and no mandatory teacher or live service.","For any later edition: semantic structure and mathematics, keyboard/reflow support, tested fonts/text extraction, captions/transcripts and printable low-bandwidth fallback.",Modeled Francophone totals include heterogeneous competence and schooling.,profile_resolution_or_exact_residual_action_from_expected_universe,commission_exact_accessibility_professional_or_frontier_residual_only,"Declared lane cycle high_reach_underserved; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier profile_or_residual_resolution; least-dispatched compatible typed view functional_language_ability_or_estimate|Modeled global French-competence and schooling population|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,OIF 2026 methods 1 and 2,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. Modeled Francophone totals include heterogeneous competence and schooling.
80,wave_08_mixed_allocation_lanes,regional_depth,EXP-015,natural_language,Ethiopia Sidama Latin-script edition,sid-Latn-ET,Ethiopia,,"Sidama: 2,981,471 [census_mother_tongue_persons; 2007]",census_mother_tongue_persons,POP-ET-005;PM-S020,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",secondary through first-year tertiary,,sid-Latn-ET,large exact Ethiopia residual,"Produce the registered MV-1 Minimum viable quantitative curriculum for this exact named output: Algebra and Trigonometry 2e; adaptation D2; include placement diagnostics, complete worked answers, editable source, and download-once delivery.","After the bounded MV-1 package, extend only after an itemized local supply and stage audit; preserve the same named profile and non-overlap rules.",Diagnostic entry and any source-stated prerequisites -> MV-1.,External and local supply not yet assessed for this exact output.,AX-HTML;AX-PDF;AX-OFFLINE,"Placement checks, explicit prerequisite repair, complete worked examples and answers, self-check feedback, and no required teacher or live platform.","Semantic headings and mathematics/MathML, keyboard navigation, captions/transcripts for media, reflow, tested fonts and text extraction, low-bandwidth assets, and printable fallback.",Separate 2007 mother-tongue cell; do not add cross-border observations or family-language proxies without explicit disjoint-universe accounting.,registered_curriculum_package_provisional_local_need_fit,commission_after_exact_work_stage_format_scope,"Declared lane cycle regional_depth; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier registered_provisional; least-dispatched compatible typed view unknown|unknown|unknown; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,PM-S020;TP-S001-IANA;TP-S002-CLDR,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
81,wave_09_mixed_allocation_lanes,high_reach_underserved,GLB-003,pluricentric_written_standard,"Standard Written Chinese, Taiwan Traditional",zh-Hant-TW,Eastern Asia,GLB-003,"Standard Written Chinese, Taiwan Traditional: 8,801,742 (interval 8,790,849–8,812,635) [first_learned_language_derived_from_percentage; 2020] | Standard Written Chinese, Taiwan Traditional: 21,089,322 (interval 21,078,430–21,100,215) [functional_language_ability_or_estimate; 2020] | Standard Written Chinese, Taiwan Traditional: 21,786,490 [territory_age_restricted_ceiling; 2020]",first_learned_language_derived_from_percentage;functional_language_ability_or_estimate;territory_age_restricted_ceiling,SUP-005;SUPSRC-TW-DGBAS-CENSUS-2020;SUP-006;SUP-004,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",target/profile resolution before stage-specific production,,zh-Hant-TW,Traditional-script locale must be explicit and cannot inherit mainland population or terminology.,Audit exact residual and reuse semantic source with a Taiwan locale layer.,"After target/profile resolution, select a bounded content package from the registered source inventory.","Resolve the exact target, population and existing supply before assigning a curriculum prerequisite chain.",Strong local supply; exact open/accessibility/frontier inventory pending.,research dossier and source inventory only until the target profile is resolved,"For any later content edition: diagnostics, complete worked answers, self-check feedback and no mandatory teacher or live service.","For any later edition: semantic structure and mathematics, keyboard/reflow support, tested fonts/text extraction, captions/transcripts and printable low-bandwidth fallback.",Taiwan Guoyu and traditional-character literacy are not mainland Hans reach.,profile_resolution_or_exact_residual_action_from_expected_universe,commission_after_exact_work_stage_format_scope,"Declared lane cycle high_reach_underserved; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier profile_or_residual_resolution; least-dispatched compatible typed view functional_language_ability_or_estimate|Taiwan resident nationals age 6+|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,Taiwan 2020 census Guoyu first-learned/current-use tables,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. Taiwan Guoyu and traditional-character literacy are not mainland Hans reach.
82,wave_09_mixed_allocation_lanes,high_reach_underserved,GLB-034,national_standard,Iranian Persian,fa-Arab-IR,West/Central Asia,GLB-034,"Iranian Persian: 79,926,270 [territory_all_residents_ceiling; 2016]",territory_all_residents_ceiling,SUP-038;SUPSRC-IR-CENSUS-2016,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",target/profile resolution before stage-specific production,,fa-Arab-IR,Large standard-language profile requiring its own authoritative denominator and supply audit.,Resolve denominator and exact tertiary/professional/frontier residual.,"After target/profile resolution, select a bounded content package from the registered source inventory.","Resolve the exact target, population and existing supply before assigning a curriculum prerequisite chain.",National supply substantial; open/advanced accessibility unknown.,research dossier and source inventory only until the target profile is resolved,"For any later content edition: diagnostics, complete worked answers, self-check feedback and no mandatory teacher or live service.","For any later edition: semantic structure and mathematics, keyboard/reflow support, tested fonts/text extraction, captions/transcripts and printable low-bandwidth fallback.",Do not merge Dari and Tajik populations or scripts.,profile_resolution_or_exact_residual_action_from_expected_universe,commission_after_exact_work_stage_format_scope,"Declared lane cycle high_reach_underserved; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier profile_or_residual_resolution; least-dispatched compatible typed view territory_all_residents_ceiling|Iran residents|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,Pinned CLDR recall; Iran census/language source pending,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. Do not merge Dari and Tajik populations or scripts.
83,wave_09_mixed_allocation_lanes,regional_depth,EXP-016,natural_language,Ethiopia Wolaytta Latin-script edition,wal-Latn-ET,Ethiopia,,"Wolaytta: 1,627,955 [census_mother_tongue_persons; 2007]",census_mother_tongue_persons,POP-ET-006;PM-S020,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",secondary through first-year tertiary,,wal-Latn-ET,exact Ethiopia regional-language residual,"Produce the registered MV-1 Minimum viable quantitative curriculum for this exact named output: Algebra and Trigonometry 2e; adaptation D2; include placement diagnostics, complete worked answers, editable source, and download-once delivery.","After the bounded MV-1 package, extend only after an itemized local supply and stage audit; preserve the same named profile and non-overlap rules.",Diagnostic entry and any source-stated prerequisites -> MV-1.,External and local supply not yet assessed for this exact output.,AX-HTML;AX-PDF;AX-OFFLINE,"Placement checks, explicit prerequisite repair, complete worked examples and answers, self-check feedback, and no required teacher or live platform.","Semantic headings and mathematics/MathML, keyboard navigation, captions/transcripts for media, reflow, tested fonts and text extraction, low-bandwidth assets, and printable fallback.",Separate 2007 mother-tongue cell; do not add cross-border observations or family-language proxies without explicit disjoint-universe accounting.,registered_curriculum_package_provisional_local_need_fit,commission_after_exact_work_stage_format_scope,"Declared lane cycle regional_depth; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier registered_provisional; least-dispatched compatible typed view unknown|unknown|unknown; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,PM-S020;TP-S001-IANA;TP-S002-CLDR,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
84,wave_09_mixed_allocation_lanes,high_reach_underserved,GLB-030,national_standard,Polish,pl-Latn-PL,Europe,GLB-030,"Polish: 37,489,000 [territory_all_residents_ceiling; 2024-12-31]",territory_all_residents_ceiling,SUP-019;SUPSRC-PL-STAT-POPULATION-2024,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",target/profile resolution before stage-specific production,,pl-Latn-PL,Near-threshold supply-rich control retained rather than silently omitted.,Exact residual audit only.,"After target/profile resolution, select a bounded content package from the registered source inventory.","Resolve the exact target, population and existing supply before assigning a curriculum prerequisite chain.",High mainstream supply.,research dossier and source inventory only until the target profile is resolved,"For any later content edition: diagnostics, complete worked answers, self-check feedback and no mandatory teacher or live service.","For any later edition: semantic structure and mathematics, keyboard/reflow support, tested fonts/text extraction, captions/transcripts and printable low-bandwidth fallback.",Rounded survey shares are not exact population cells.,profile_resolution_or_exact_residual_action_from_expected_universe,commission_exact_accessibility_professional_or_frontier_residual_only,"Declared lane cycle high_reach_underserved; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier profile_or_residual_resolution; least-dispatched compatible typed view territory_all_residents_ceiling|Poland residents|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,EU Eurobarometer; national source audit pending,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. Rounded survey shares are not exact population cells.
85,wave_09_mixed_allocation_lanes,high_reach_underserved,GLB-035,national_standard,"Turkish, Turkey",tr-Latn-TR,West Asia/Europe,GLB-035,"Turkish, Turkey: 85,664,944 [territory_all_residents_ceiling; 2024-12-31]",territory_all_residents_ceiling,SUP-021;SUPSRC-TR-TUIK-ABPRS-2024,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",target/profile resolution before stage-specific production,,tr-Latn-TR,Strong territory and statutory-language proxy; no current nationwide use count located.,Rank only in territory/proxy view; audit exact open/accessibility/frontier residual.,"After target/profile resolution, select a bounded content package from the registered source inventory.","Resolve the exact target, population and existing supply before assigning a curriculum prerequisite chain.",Strong mainstream supply.,research dossier and source inventory only until the target profile is resolved,"For any later content edition: diagnostics, complete worked answers, self-check feedback and no mandatory teacher or live service.","For any later edition: semantic structure and mathematics, keyboard/reflow support, tested fonts/text extraction, captions/transcripts and printable low-bandwidth fallback.",Territory and language-neutral literacy are not Turkish reader counts.,profile_resolution_or_exact_residual_action_from_expected_universe,commission_after_exact_work_stage_format_scope,"Declared lane cycle high_reach_underserved; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier profile_or_residual_resolution; least-dispatched compatible typed view territory_all_residents_ceiling|Residents of Türkiye|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,TurkStat 2024 population/literacy; Constitution,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. Territory and language-neutral literacy are not Turkish reader counts.
86,wave_09_mixed_allocation_lanes,regional_depth,EXP-017,natural_language,Ethiopia Hadiyya Latin-script edition,hdy-Latn-ET,Ethiopia,,"Hadiyya: 1,253,894 [census_mother_tongue_persons; 2007]",census_mother_tongue_persons,POP-ET-009;PM-S020,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",secondary through first-year tertiary,,hdy-Latn-ET,exact Ethiopia regional-language residual,"Produce the registered MV-1 Minimum viable quantitative curriculum for this exact named output: Algebra and Trigonometry 2e; adaptation D2; include placement diagnostics, complete worked answers, editable source, and download-once delivery.","After the bounded MV-1 package, extend only after an itemized local supply and stage audit; preserve the same named profile and non-overlap rules.",Diagnostic entry and any source-stated prerequisites -> MV-1.,External and local supply not yet assessed for this exact output.,AX-HTML;AX-PDF;AX-OFFLINE,"Placement checks, explicit prerequisite repair, complete worked examples and answers, self-check feedback, and no required teacher or live platform.","Semantic headings and mathematics/MathML, keyboard navigation, captions/transcripts for media, reflow, tested fonts and text extraction, low-bandwidth assets, and printable fallback.",Separate 2007 mother-tongue cell; do not add cross-border observations or family-language proxies without explicit disjoint-universe accounting.,registered_curriculum_package_provisional_local_need_fit,commission_after_exact_work_stage_format_scope,"Declared lane cycle regional_depth; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier registered_provisional; least-dispatched compatible typed view unknown|unknown|unknown; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,PM-S020;TP-S001-IANA;TP-S002-CLDR,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
87,wave_09_mixed_allocation_lanes,high_reach_underserved,NAT-066,natural_language,Oromo,om-Latn-ET,Ethiopia and neighboring cells,GLB-049,"Oromo exact variety profiles: 24,930,424 [mother_tongue_or_first_language; 2007]",mother_tongue_or_first_language,POP-ET-001;PM-S020,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",target and learner-cohort resolution; curriculum stage remains provisional,,om-Latn-ET,Replace macro-target with exact variety/standard outputs.,"First resolve the exact variety, script, orthography and learner locale using the registered source/profile evidence; retain any broader census count as a ceiling only. Then scope the appropriate registered curriculum package; this is a bounded target-resolution commission, not authorization to translate into a fabricated common standard.","After the bounded MV-1 package, extend only after an itemized local supply and stage audit; preserve the same named profile and non-overlap rules.",Resolve exact production profile -> check source-stated learner prerequisites -> scope a bounded content package.,Supply varies by variety and region.,AX-HTML;AX-PDF;AX-OFFLINE,"Placement checks, explicit prerequisite repair, complete worked examples and answers, self-check feedback, and no required teacher or live platform.","Semantic headings and mathematics/MathML, keyboard navigation, captions/transcripts for media, reflow, tested fonts and text extraction, low-bandwidth assets, and printable fallback.",Oromia territory and Oromo macrolanguage are not one edition population.,profile_resolution_action_local_need_unresolved,bounded_target_resolution_before_exact_content_scope,"Declared lane cycle high_reach_underserved; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier profile_or_residual_resolution; least-dispatched compatible typed view mother_tongue_or_first_language|large_national_mother_tongue|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,ACE-A021,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. Oromia territory and Oromo macrolanguage are not one edition population.
88,wave_09_mixed_allocation_lanes,endangered_prestige,NAT-110,natural_language,Basque,eu-Latn-ES,Basque Country exact territory cells,,unresolved—no comparable source-defined population count,unresolved,,No direct reach is assigned until an exact source-defined population universe is registered.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",upper-secondary through undergraduate formal reasoning,,eu-Latn-ES,Mature standard favors production feasibility.,"Produce the registered FR-2 Formal-reasoning core for this exact named output: FR-1 plus first-order-logic; adaptation D2; include placement diagnostics, complete worked answers, editable source, and download-once delivery.","After the bounded FR-2 package, extend only after an itemized local supply and stage audit; preserve the same named profile and non-overlap rules.",Diagnostic entry -> FR-1 -> FR-2.,No edition recorded in the bounded project inventory; external/local educational supply has not been assessed by this field.,AX-HTML;AX-PDF;AX-OFFLINE,"Placement checks, explicit prerequisite repair, complete worked examples and answers, self-check feedback, and no required teacher or live platform.","Semantic headings and mathematics/MathML, keyboard navigation, captions/transcripts for media, reflow, tested fonts and text extraction, low-bandwidth assets, and printable fallback.",Territory and dominant-language overlaps are explicit deductions.,registered_curriculum_package_provisional_local_need_fit,commission_after_exact_work_stage_format_scope,"Declared lane cycle endangered_prestige; no remaining dominance predecessors in the planning view; static opportunity layer 2 is diagnostic only (planning inference is not measurement); package-evidence policy tier registered_provisional; least-dispatched compatible typed view unknown|unknown|unknown; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population/profile evidence unresolved; local need fit provisional; marginal increment unmeasured,ACE-A021,No direct reach is assigned until an exact source-defined population universe is registered.
89,wave_09_mixed_allocation_lanes,high_reach_underserved,GLB-001,learned_lingua_franca,Global learned English access baseline,en-Latn; locale outputs required,Global,GLB-001,"Global learned English access baseline: 292,827,195 [functional_language_ability_or_estimate; 2024] | Global learned English access baseline: 53,667,911 [functional_language_ability_or_estimate; 2021] | Global learned English access baseline: 247,695,110 [home_or_usual_language_use; 2024]",functional_language_ability_or_estimate;home_or_usual_language_use,SUP-002;SUPSRC-US-ACS-S1601-2024;SUP-003;SUPSRC-GB-ONS-TS029-2021;SUP-001,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",target/profile resolution before stage-specific production,,en-Latn; locale outputs required,"Explicitly enumerate English; residual is academic comfort, plain language, bilingual access, offline and accessibility rather than generic translation.",Audit exact stage/subject/format residuals and keep English overlap out of unique-language reach.,"After target/profile resolution, select a bounded content package from the registered source inventory.","Resolve the exact target, population and existing supply before assigning a curriculum prerequisite chain.","Very high but licensing, login, accessibility and stage gaps remain.",research dossier and source inventory only until the target profile is resolved,"For any later content edition: diagnostics, complete worked answers, self-check feedback and no mandatory teacher or live service.","For any later edition: semantic structure and mathematics, keyboard/reflow support, tested fonts/text extraction, captions/transcripts and printable low-bandwidth fallback.",Global L2/use estimates are not academic-reading comfort and overlap nearly every other profile.,profile_resolution_or_exact_residual_action_from_expected_universe,commission_exact_accessibility_professional_or_frontier_residual_only,"Declared lane cycle high_reach_underserved; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier profile_or_residual_resolution; least-dispatched compatible typed view home_or_usual_language_use|United States residents age 5+|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,US ACS 2024; England Census 2021; British Council global estimate as diagnostic only,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. Global L2/use estimates are not academic-reading comfort and overlap nearly every other profile.
