portfolio_exposure_position,intervention_id,intervention_name,target_profile,territory,population_observation_id,population_measure_class,source_population_measure,learner_or_age_stratum,source_year,population_low,population_base,population_high,content_deficit_D_ex_ante,target_identity_C_conditional_on_standard_literacy,target_readable_N_low,target_readable_N_base_sensitivity,target_readable_N_high,practical_access_P_low,practical_access_P_base,practical_access_P_high,practical_access_evidence_status,academic_nonoverlap_U_low,academic_nonoverlap_U_base,academic_nonoverlap_U_high,academic_nonoverlap_evidence_status,factor_evidence_class,marginal_access_low,marginal_access_base_sensitivity,marginal_access_high,base_midpoint_sensitivity_per_million_tokens,base_midpoint_sensitivity_rank_low,base_midpoint_sensitivity_rank_high,conservative_score_per_million_tokens,conservative_rank_low,conservative_rank_high,optimistic_sensitivity_per_million_tokens,optimistic_sensitivity_rank_low,optimistic_sensitivity_rank_high,bibliographic_scarcity_proxy_per_million_tokens,bibliographic_scarcity_proxy_rank_low,bibliographic_scarcity_proxy_rank_high,direct_evidence_rank_status,interpretation
75,NAT-024,Bhojpuri Nepal profile,bho-Deva-NP,Nepal,POP-NP-003,mother_tongue_or_first_language,census_mother_tongue_persons,regional_language_population,2021,1820795,1820795,1820795,1.000000,1.000000,1254528,1254528,1254528,0.689000,0.689000,0.689000,direct_language_specific_literacy_rate,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,contains_ignorance_midpoint,0,627264,1254528,154003.549,70,70,0.000,1,137,1374468.220,71,71,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
76,EXP-029,Mauritius Mauritian Creole Latin-script edition,mfe-Latn-MU,Mauritius,POP-MU-004,home_or_usual_language_use,language_usually_spoken_at_home_persons,creole_home_language,2022,1045558,1045558,1045558,1.000000,1.000000,0,985834,1045558,0.000000,0.942878,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,492917,1045558,121019.168,71,71,0.000,1,137,1145519.465,73,73,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
77,EXP-017,Ethiopia Hadiyya Latin-script edition,hdy-Latn-ET,Ethiopia,POP-ET-009,mother_tongue_or_first_language,census_mother_tongue_persons,regional_mother_tongue,2007,1253894,1253894,1253894,1.000000,1.000000,0,758104,1253894,0.000000,0.604600,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,379052,1253894,93063.452,74,74,0.000,1,137,1373773.606,72,72,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
78,EXP-025,South Africa isiNdebele Latin-script edition,nr-Latn-ZA,South Africa,ZA-NBL-2022,home_or_usual_language_use,census_language_most_often_spoken_in_household_persons_age_1_plus,resident population aged 1 year and older,2022,1044377,1044377,1044377,1.000000,1.000000,0,951950,1044377,0.000000,0.911500,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,475975,1044377,116859.630,73,73,0.000,1,137,1144225.555,74,74,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
79,OBS-GRG-US-025,Standard Haitian Creole,ht-Latn-HT,United States,GRG-US-025,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,2017-2021,852440,867500,882560,1.000000,1.000000,0,433750,882560,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,contains_ignorance_midpoint,0,216875,882560,53246.352,77,77,0.000,1,137,966937.902,75,75,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
80,EXP-011,Indonesia Nias Latin-script edition,nia-Latn-ID,Indonesia,POP-ID-017,home_or_usual_language_use,daily_language_at_home_age5plus_persons,regional_home_language,2010,747168,747168,747168,1.000000,1.000000,0,717281,747168,0.000000,0.960000,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,358641,747168,88052.218,75,75,0.000,1,137,818601.634,76,76,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
81,NAT-026,Avadhi Nepal profile,awa-Deva-NP,Nepal,POP-NP-007,mother_tongue_or_first_language,census_mother_tongue_persons,regional_language_population,2021,864276,864276,864276,1.000000,1.000000,553137,553137,553137,0.640000,0.640000,0.640000,direct_language_specific_literacy_rate,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,contains_ignorance_midpoint,0,276568,553137,67901.957,76,76,0.000,1,137,606020.135,77,77,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
82,EXP-030,Zimbabwe Ndau Latin-script edition,ndc-Latn-ZW,Zimbabwe,POP-ZW-006,mother_tongue_or_first_language,census_mother_tongue_persons,regional_language_population,2022,372607,372607,372607,1.000000,1.000000,0,347382,372607,0.000000,0.932300,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,173691,372607,42643.975,78,78,0.000,1,137,408230.410,80,80,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
83,OBS-GRG-PL-002,Silesian in ślabikŏrzowy szrajbōnek,szl-Latn-PL,Poland,GRG-PL-002,home_or_usual_language_use,census_languages_used_at_home_multiple_response_persons,direct_language_census_count,2021-03-31,467145,467145,467145,1.000000,1.000000,0,233572,467145,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,contains_ignorance_midpoint,0,116786,467145,28672.869,81,81,0.000,1,137,511806.796,78,78,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
84,NAT-041,Tetum Prasa,tet-Latn-TL,Timor-Leste,ALG-TL-L001,mother_tongue_or_first_language,census_mother_tongue_persons,direct_language_population,2015,361027,361027,361027,1.000000,1.000000,0,250553,361027,0.000000,0.694000,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,125276,361027,30757.302,79,79,0.000,1,137,395543.295,81,81,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
85,OBS-POP-SN-AFG-005,"Senegal Mandinka (Màndienka), official Latin profile",mnk-Latn-SN,Senegal,POP-SN-AFG-005,home_or_usual_language_use,census_principal_language_commonly_spoken_persons_age_3_plus,resident_population_age_3_plus,2023,465052,465052,465052,1.000000,1.000000,0,234200,465052,0.000000,0.503600,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,117100,465052,28749.961,80,80,0.000,1,137,509513.693,79,79,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
86,OBS-GRG-US-030,YIVO Standard Yiddish edition for the explicitly named YIVO-reading audience,ydd-Hebr-US,United States,GRG-US-030,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,2017-2021,189401,194800,200199,1.000000,1.000000,0,97400,200199,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,contains_ignorance_midpoint,0,48700,200199,11956.645,83,83,0.000,1,137,219339.196,83,83,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
87,OBS-GRG-US-029,English-oriented Pennsylvania German spelling used by Vitt Du Deitsh Shvetza / Di Heilich Shrift / Ich Kann PA Deitsh Shreiva,pdc-Latn-US,United States,GRG-US-029,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,2017-2021,179920,185200,190480,1.000000,1.000000,0,92600,190480,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,contains_ignorance_midpoint,0,46300,190480,11367.406,84,84,0.000,1,137,208691.003,84,84,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
88,EXP-031,Timor-Leste Makasai Latin-script edition,mkz-Latn-TL,Timor-Leste,ALG-TL-L003,mother_tongue_or_first_language,census_mother_tongue_persons,direct_language_population,2015,123840,123840,123840,1.000000,1.000000,0,85945,123840,0.000000,0.694000,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,42972,123840,10550.327,85,85,0.000,1,137,135679.829,86,86,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
89,OBS-GRG-US-003,Diné Bizaad in Navajo Nation school orthography,nv-Latn-US,United States,GRG-US-003,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,2017-2021,158202,161200,164198,1.000000,1.000000,0,80600,164198,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,contains_ignorance_midpoint,0,40300,164198,9894.308,86,86,0.000,1,137,179896.290,85,85,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
90,EXP-026,Peru Ashaninka Latin-script edition,cni-Latn-PE,Peru,POP-PE-003,mother_tongue_or_first_language,census_language_learned_in_childhood_age3plus_persons,Indigenous_language_population,2017,73567,73567,73567,1.000000,1.000000,0,68903,73567,0.000000,0.936600,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,34451,73567,8458.283,87,87,0.000,1,137,80600.436,90,90,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
91,EXP-036,New Zealand Samoan Latin-script edition,sm-Latn-NZ,New Zealand,POP-NZ-003,multiple_response_language_ability,census_languages_spoken_multiple_response_persons,Pacific_diaspora_language_population,2023,110539,110541,110543,1.000000,1.000000,0,55270,110543,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,contains_ignorance_midpoint,0,27635,110543,6784.843,88,88,0.000,1,137,121111.558,87,87,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
92,EXP-027,Peru Awajun Latin-script edition,agr-Latn-PE,Peru,POP-PE-004,mother_tongue_or_first_language,census_language_learned_in_childhood_age3plus_persons,Indigenous_language_population,2017,56584,56584,56584,1.000000,1.000000,0,52997,56584,0.000000,0.936600,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,26498,56584,6505.691,89,89,0.000,1,137,61993.762,94,94,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
93,OBS-GRG-PL-004,School-standard Kashubian,csb-Latn-PL,Poland,GRG-PL-004,home_or_usual_language_use,census_languages_used_at_home_multiple_response_persons,direct_language_census_count,2021-03-31,89198,89198,89198,1.000000,1.000000,0,44599,89198,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,contains_ignorance_midpoint,0,22300,89198,5475.014,92,92,0.000,1,137,97725.851,88,88,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
94,EXP-032,Timor-Leste Kemak Latin-script edition,kem-Latn-TL,Timor-Leste,ALG-TL-L006,mother_tongue_or_first_language,census_mother_tongue_persons,direct_language_population,2015,68995,68995,68995,1.000000,1.000000,0,47883,68995,0.000000,0.694000,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,23941,68995,5877.906,90,90,0.000,1,137,75591.326,92,92,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
95,OBS-GRG-US-026,Jamaican Creole in Cassidy/JLU orthography,jam-Latn-JM,United States,GRG-US-026,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,2017-2021,68605,72000,75395,1.000000,1.000000,0,36000,75395,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,contains_ignorance_midpoint,0,18000,75395,4419.294,93,93,0.000,1,137,82603.203,89,89,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
96,EXP-033,Timor-Leste Bunak Latin-script edition,bfn-Latn-TL,Timor-Leste,ALG-TL-L007,mother_tongue_or_first_language,census_mother_tongue_persons,direct_language_population,2015,64686,64686,64686,1.000000,1.000000,0,44892,64686,0.000000,0.694000,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,22446,64686,5510.859,91,91,0.000,1,137,70870.360,93,93,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
97,EXP-034,Timor-Leste Tokodede Latin-script edition,tkd-Latn-TL,Timor-Leste,ALG-TL-L008,mother_tongue_or_first_language,census_mother_tongue_persons,direct_language_population,2015,46784,46784,46784,1.000000,1.000000,0,32468,46784,0.000000,0.694000,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,16234,46784,3985.712,95,95,0.000,1,137,51256.824,95,95,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
98,EXP-028,Peru Shipibo-Konibo Latin-script edition,shp-Latn-PE,Peru,POP-PE-005,mother_tongue_or_first_language,census_language_learned_in_childhood_age3plus_persons,Indigenous_language_population,2017,34152,34152,34152,1.000000,1.000000,0,31987,34152,0.000000,0.936600,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,15993,34152,3926.542,96,96,0.000,1,137,37417.131,98,98,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
99,NAT-044,Fataluku,ddg-Latn-TL,Timor-Leste,ALG-TL-L009,mother_tongue_or_first_language,census_mother_tongue_persons,direct_language_population,2015,41500,41500,41500,1.000000,1.000000,0,28801,41500,0.000000,0.694000,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,14401,41500,3535.681,97,97,0.000,1,137,45467.643,96,96,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
100,OBS-GRG-US-023,Standard ʻŌlelo Hawaiʻi with ʻokina and kahakō,haw-Latn-US,United States,GRG-US-023,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,2017-2021,30623,32730,34837,1.000000,1.000000,0,16365,34837,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,contains_ignorance_midpoint,0,8182,34837,2008.815,98,98,0.000,1,137,38167.621,97,97,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
101,OBS-GRG-US-017,Standard Marshallese under the 2010 Orthography Act,mh-Latn-MH,United States,GRG-US-017,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,2017-2021,25198,27160,29122,1.000000,1.000000,0,13580,29122,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,contains_ignorance_midpoint,0,6790,29122,1667.056,100,100,0.000,1,137,31906.234,99,99,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
102,EXP-035,Timor-Leste Waima'a Latin-script edition,wmh-Latn-TL,Timor-Leste,ALG-TL-L010,mother_tongue_or_first_language,census_mother_tongue_persons,direct_language_population,2015,21227,21227,21227,1.000000,1.000000,0,14732,21227,0.000000,0.694000,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,7366,21227,1808.473,99,99,0.000,1,137,23256.425,100,100,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
103,OBS-GRG-US-001,Standard Central Alaskan Yup'ik,esu-Latn-US,United States,GRG-US-001,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,2017-2021,15337,16120,16903,1.000000,1.000000,0,8060,16903,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,contains_ignorance_midpoint,0,4030,16903,989.431,102,102,0.000,1,137,18519.026,102,102,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
104,OBS-GRG-US-018,Chuuk State standard Chuukese,chk-Latn-FM,United States,GRG-US-018,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,2017-2021,12612,14700,16788,1.000000,1.000000,0,7350,16788,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,contains_ignorance_midpoint,0,3675,16788,902.272,103,103,0.000,1,137,18393.031,103,103,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
105,OBS-GRG-US-002,Dilzhe'e Apache dictionary spelling profile with its documented tone and consonant adaptations,apw-Latn-US,United States,GRG-US-002,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,2017-2021,11767,12730,13693,1.000000,1.000000,0,6365,13693,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,contains_ignorance_midpoint,0,3182,13693,781.233,104,104,0.000,1,137,15002.131,104,104,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
106,OBS-GRG-US-016,Central Southwestern Ojibwe/Chippewa edition in the Ojibwe People's Dictionary Double-Vowel system,ciw-Latn-US,United States,GRG-US-016,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,2017-2021,9867,10750,11633,1.000000,1.000000,0,5375,11633,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,contains_ignorance_midpoint,0,2688,11633,659.948,105,105,0.000,1,137,12745.183,105,105,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
107,OBS-GRG-US-005,Lakota Language Consortium consistent phonemic teaching orthography edition,lkt-Latn-US,United States,GRG-US-005,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,2017-2021,9835,10590,11345,1.000000,1.000000,0,5295,11345,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,contains_ignorance_midpoint,0,2648,11345,650.127,106,106,0.000,1,137,12429.648,106,106,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
108,OBS-GRG-US-007,Cherokee syllabary edition,chr-Cher-US,United States,GRG-US-007,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,2017-2021,9552,10440,11328,1.000000,1.000000,0,5220,11328,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,contains_ignorance_midpoint,0,2610,11328,640.798,107,107,0.000,1,137,12411.023,107,107,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
109,OBS-GRG-US-021,Two-output CHamoru/Chamorro bundle: Guam 2024 official orthography plus CNMI 2010 official orthography,ch-Latn-GU|ch-Latn-MP,United States,GRG-US-021,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,2017-2021,18173,19690,21207,1.000000,1.000000,0,9845,21207,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,contains_ignorance_midpoint,0,4922,21207,604.216,108,108,0.000,1,137,11617.257,108,108,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
110,OBS-GRG-US-008,Zuni/Shiwi school-literacy profile,zun-Latn-US,United States,GRG-US-008,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,2017-2021,7229,8109,8989,1.000000,1.000000,0,4054,8989,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,contains_ignorance_midpoint,0,2027,8989,497.662,109,109,0.000,1,137,9848.401,109,109,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
111,OBS-GRG-US-019,Pohnpei State standard Pohnpeian,pon-Latn-FM,United States,GRG-US-019,home_or_usual_language_use,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,direct_language_sample_estimate,2017-2021,6198,7412,8626,1.000000,1.000000,0,3706,8626,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,contains_ignorance_midpoint,0,1853,8626,454.942,111,111,0.000,1,137,9450.696,110,110,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
