exposure_position,entry_id,entry_type,entry_name,target_profiles,territory_or_scope,component_profile_ids,named_output_profile_ids,population_source_ids,matched_matrix_row_ids,matched_interlanguage_intervention_ids,matched_mechanism_classes,matched_edge_roles,profile_match_basis,comprehension_evidence_statuses,rankable_matrix_rows,current_cross_language_demographic_reach_credit,demographic_reach_credit_basis,shared_core_compute_reuse,current_direct_component_completion_overlap,forward_component_deficit_D,forward_next_nonduplicative_actions,double_count_rules,exclusions,interlanguage_source_ids,matrix_confidence,crosswalk_note
63,EXP-008,natural_language,Indonesia Sasak Latin-script edition,sas-Latn-ID,Indonesia,,sas-Latn-ID,POP-ID-012;PM-S005,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.","Separate named BPS daily-home-language cell; the master table does not assert portfolio additivity, so do not sum it with grouped Indonesian rows or infer cross-language coverage.","Separate named BPS daily-home-language cell; the master table does not assert portfolio additivity, so do not sum it with grouped Indonesian rows or infer cross-language coverage.",,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
64,NAT-007,natural_language,Gujarati,gu-Gujr-IN,Gujarat India,GLB-015,gu-Gujr-IN,POP-IN-005;PM-S001;POP-IN-COMP-005,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Functional total is not additive to L1.,Functional total is not additive to L1.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
65,NAT-013,natural_language,Indian Urdu,ur-Arab-IN,India,GLB-009,ur-Arab-IN,POP-IN-022;PM-S001;POP-IN-COMP-022,EDGE-HU-003,IL-HU,dual_script_register,coverage_candidate,exact_profile_tag,architecture_not_comprehension_claim,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,High semantic/formula reuse Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.,No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Keep Indian Urdu separate from Pakistan Urdu; apply disclosed nonoverlap sensitivity 0.543607303/0.771803651/0.908721461 rather than categorical Hindi coverage,Other Indian mother tongues,ACE-E011;ACE-E019;ACE-A007,medium,"Exact matrix relations are listed for production reuse and evidence routing. Every matched row is currently non-rankable for demographic reach, so direct cross-language credit remains zero."
66,EXP-009,natural_language,Indonesia Acehnese Latin-script edition,ace-Latn-ID,Indonesia,,ace-Latn-ID,POP-ID-013;PM-S005,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.","Separate named BPS daily-home-language cell; the master table does not assert portfolio additivity, so do not sum it with grouped Indonesian rows or infer cross-language coverage.","Separate named BPS daily-home-language cell; the master table does not assert portfolio additivity, so do not sum it with grouped Indonesian rows or infer cross-language coverage.",,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
67,NAT-008,natural_language,Kannada,kn-Knda-IN,Karnataka India,GLB-016,kn-Knda-IN,POP-IN-007;PM-S001;POP-IN-COMP-007,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Shared formula, layout and QA only unless measured Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",C-17 L2/L3 total cannot be compared as L1.,C-17 L2/L3 total cannot be compared as L1.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
68,NAT-105,natural_language,Maori,mi-Latn-NZ,New Zealand,,mi-Latn-NZ,POP-NZ-002;PM-S014,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Deduct English comfort by cohort; no Polynesian-family reach.,Deduct English comfort by cohort; no Polynesian-family reach.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
69,NAT-009,natural_language,Malayalam,ml-Mlym-IN,Kerala India,GLB-017,ml-Mlym-IN,POP-IN-011;PM-S001;POP-IN-COMP-011,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Shared formula, layout and QA only unless measured Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Do not inflate using Kerala territory without language evidence.,Do not inflate using Kerala territory without language evidence.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
70,EXP-010,natural_language,Indonesia Betawi Latin-script edition,bew-Latn-ID,Indonesia,,bew-Latn-ID,POP-ID-014;PM-S005,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.","Separate named BPS daily-home-language cell; the master table does not assert portfolio additivity, so do not sum it with grouped Indonesian rows or infer cross-language coverage.","Separate named BPS daily-home-language cell; the master table does not assert portfolio additivity, so do not sum it with grouped Indonesian rows or infer cross-language coverage.",,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
71,NAT-012,natural_language,Pakistani Urdu,ur-Arab-PK,Pakistan,GLB-008,ur-Arab-PK,POP-PK-001;PM-S003,EDGE-HU-002,IL-HU,dual_script_register,coverage_candidate,exact_profile_tag,architecture_not_comprehension_claim,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,High semantic/formula reuse Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.,No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Hindi gives zero Urdu credit; named Urdu output claims exact Pakistan cell,Punjabi Sindhi Saraiki Pashto and other languages,ACE-E012;ACE-A007,low,"Exact matrix relations are listed for production reuse and evidence routing. Every matched row is currently non-rankable for demographic reach, so direct cross-language credit remains zero."
72,NAT-017,natural_language,Pakistani Pashto,ps-Arab-PK,Pakistan,GLB-022,ps-Arab-PK,POP-PK-004;PM-S003,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Mixed denominator and dialect/orthography profiles cannot form one rank.,Mixed denominator and dialect/orthography profiles cannot form one rank.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
73,EXP-011,natural_language,Indonesia Nias Latin-script edition,nia-Latn-ID,Indonesia,,nia-Latn-ID,POP-ID-017;PM-S005,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.","Separate named BPS daily-home-language cell; the master table does not assert portfolio additivity, so do not sum it with grouped Indonesian rows or infer cross-language coverage.","Separate named BPS daily-home-language cell; the master table does not assert portfolio additivity, so do not sum it with grouped Indonesian rows or infer cross-language coverage.",,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
74,GLB-028,national_standard,"German, Germany",de-Latn-DE,Europe,GLB-028,de-Latn-DE,SUP-016;SUPSRC-DE-DESTATIS-MICROCENSUS-2024;SUP-017,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Home use is not a literacy test and does not cover all Germanic minorities.,Home use is not a literacy test and does not cover all Germanic minorities.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
75,GLB-029,national_standard,"Italian, Italy",it-Latn-IT,Europe,GLB-029,it-Latn-IT,SUP-018;SUPSRC-IT-ISTAT-LANGUAGE-2024,EDGE-ROM-004,IL-ROM,pluricentric_shared_core,coverage_candidate,exact_profile_tag,architecture_not_comprehension_claim,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Claims only Italian cell,Sardinian Sicilian Neapolitan Friulian and Ladin,ACE-E015,low,"Exact matrix relations are listed for production reuse and evidence routing. Every matched row is currently non-rankable for demographic reach, so direct cross-language credit remains zero."
76,EXP-013,natural_language,Ethiopia Somali Latin-script edition,so-Latn-ET,Ethiopia,,so-Latn-ET,POP-ET-003;PM-S020,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Separate 2007 mother-tongue cell; do not add cross-border observations or family-language proxies without explicit disjoint-universe accounting.,Separate 2007 mother-tongue cell; do not add cross-border observations or family-language proxies without explicit disjoint-universe accounting.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
77,GLB-053,learned_spoken_standard,"Putonghua, Mainland spoken standard",cmn-Hans-CN for aligned text/audio; cmn-CN for speech-only metadata,Eastern Asia,GLB-053,cmn-Hans-CN for aligned text/audio; cmn-CN for speech-only metadata,SUP-040;SUPSRC-CN-MOE-PUTONGHUA-NBS-2020;POP-CN-001;PM-S022,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.","The 1,139,587,786 sensitivity is 80.72% of the mainland census denominator, not an official speaker count, L1 count, home-language count, literacy measure or academic-comfort count. It is wholly nonadditive with zh-Hans-CN and all Sinitic profiles.","The 1,139,587,786 sensitivity is 80.72% of the mainland census denominator, not an official speaker count, L1 count, home-language count, literacy measure or academic-comfort count. It is wholly nonadditive with zh-Hans-CN and all Sinitic profiles.",,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
78,NAT-108,natural_language,Bislama,bi-Latn-VU,Vanuatu,,bi-Latn-VU,,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",No Tok Pisin or English automatic coverage.,No Tok Pisin or English automatic coverage.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
79,GLB-026,learned_lingua_franca,Global/French regional localized standards,fr-Latn with country overlays,Global,GLB-026,fr-Latn with country overlays,SUP-012;SUPSRC-OIF-FRENCH-2025;SUP-013,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Modeled Francophone totals include heterogeneous competence and schooling.,Modeled Francophone totals include heterogeneous competence and schooling.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
80,EXP-015,natural_language,Ethiopia Sidama Latin-script edition,sid-Latn-ET,Ethiopia,,sid-Latn-ET,POP-ET-005;PM-S020,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Separate 2007 mother-tongue cell; do not add cross-border observations or family-language proxies without explicit disjoint-universe accounting.,Separate 2007 mother-tongue cell; do not add cross-border observations or family-language proxies without explicit disjoint-universe accounting.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
81,GLB-003,pluricentric_written_standard,"Standard Written Chinese, Taiwan Traditional",zh-Hant-TW,Eastern Asia,GLB-003,zh-Hant-TW,SUP-005;SUPSRC-TW-DGBAS-CENSUS-2020;SUP-006;SUP-004,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Taiwan Guoyu and traditional-character literacy are not mainland Hans reach.,Taiwan Guoyu and traditional-character literacy are not mainland Hans reach.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
82,GLB-034,national_standard,Iranian Persian,fa-Arab-IR,West/Central Asia,GLB-034,fa-Arab-IR,SUP-038;SUPSRC-IR-CENSUS-2016,EDGE-PDT-001,IL-PDT,pluricentric_shared_core,coverage_candidate,exact_profile_tag,baseline_only,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Existing fa-IR coverage is baseline and not added to adaptation reach,Dari Tajik Kurdish Pashto Balochi and Pamiri languages,ACE-A009,medium,"Exact matrix relations are listed for production reuse and evidence routing. Every matched row is currently non-rankable for demographic reach, so direct cross-language credit remains zero."
83,EXP-016,natural_language,Ethiopia Wolaytta Latin-script edition,wal-Latn-ET,Ethiopia,,wal-Latn-ET,POP-ET-006;PM-S020,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Separate 2007 mother-tongue cell; do not add cross-border observations or family-language proxies without explicit disjoint-universe accounting.,Separate 2007 mother-tongue cell; do not add cross-border observations or family-language proxies without explicit disjoint-universe accounting.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
84,GLB-030,national_standard,Polish,pl-Latn-PL,Europe,GLB-030,pl-Latn-PL,SUP-019;SUPSRC-PL-STAT-POPULATION-2024,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Rounded survey shares are not exact population cells.,Rounded survey shares are not exact population cells.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
85,GLB-035,national_standard,"Turkish, Turkey",tr-Latn-TR,West Asia/Europe,GLB-035,tr-Latn-TR,SUP-021;SUPSRC-TR-TUIK-ABPRS-2024,EDGE-TUR-001,IL-TURKIC,natural_intercomprehension_reuse,coverage_candidate,exact_profile_tag,architecture_not_comprehension_claim,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Turkish population is already covered locally and is never added to branch reuse reach,All other Turkic languages,ACE-A008,medium,"Exact matrix relations are listed for production reuse and evidence routing. Every matched row is currently non-rankable for demographic reach, so direct cross-language credit remains zero."
86,EXP-017,natural_language,Ethiopia Hadiyya Latin-script edition,hdy-Latn-ET,Ethiopia,,hdy-Latn-ET,POP-ET-009;PM-S020,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Separate 2007 mother-tongue cell; do not add cross-border observations or family-language proxies without explicit disjoint-universe accounting.,Separate 2007 mother-tongue cell; do not add cross-border observations or family-language proxies without explicit disjoint-universe accounting.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
87,NAT-066,natural_language,Oromo,om-Latn-ET,Ethiopia and neighboring cells,GLB-049,om-Latn-ET,POP-ET-001;PM-S020,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Oromia territory and Oromo macrolanguage are not one edition population.,Oromia territory and Oromo macrolanguage are not one edition population.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
88,NAT-110,natural_language,Basque,eu-Latn-ES,Basque Country exact territory cells,,eu-Latn-ES,,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Territory and dominant-language overlaps are explicit deductions.,Territory and dominant-language overlaps are explicit deductions.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
89,GLB-001,learned_lingua_franca,Global learned English access baseline,en-Latn; locale outputs required,Global,GLB-001,en-Latn; locale outputs required,SUP-002;SUPSRC-US-ACS-S1601-2024;SUP-003;SUPSRC-GB-ONS-TS029-2021;SUP-001,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Global L2/use estimates are not academic-reading comfort and overlap nearly every other profile.,Global L2/use estimates are not academic-reading comfort and overlap nearly every other profile.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
90,EXP-019,natural_language,South Africa Sepedi Latin-script edition,nso-Latn-ZA,South Africa,,nso-Latn-ZA,ZA-NSO-2022;ZA-S001,EDGE-SOT-001,IL-SOTHO,pluricentric_shared_core,coverage_candidate,exact_profile_tag,architecture_not_comprehension_claim,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Named output only; no combined Sotho-Tswana population,Tswana Southern Sotho Venda Tsonga and Nguni languages,ACE-A021,low,"Exact matrix relations are listed for production reuse and evidence routing. Every matched row is currently non-rankable for demographic reach, so direct cross-language credit remains zero."
91,GLB-032,spoken_scaffold,Egyptian Arabic scaffold,arz-Arab-EG; Saidi and other profiles separate,North Africa,GLB-032,arz-Arab-EG; Saidi and other profiles separate,SUP-037;SUPSRC-EG-CENSUS-2017,EDGE-AR-002,IL-AR,accessibility_derivative,coverage_candidate,exact_profile_tag,inference_only,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Credit only measured increase from dialect glossary plain-language or audio scaffold beyond MSA,Non-Arabic Egypt languages,ACE-A009,low,"Exact matrix relations are listed for production reuse and evidence routing. Every matched row is currently non-rankable for demographic reach, so direct cross-language credit remains zero."
92,NAT-071,natural_language,Igbo,ig-Latn-NG,Nigeria and diaspora,GLB-051,ig-Latn-NG,,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Continuum and standardized literacy require evidence.,Continuum and standardized literacy require evidence.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
93,EXP-020,natural_language,South Africa Setswana Latin-script edition,tn-Latn-ZA,South Africa,,tn-Latn-ZA,ZA-TSN-2022;ZA-S001,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.","Mutually exclusive within the coded Table 3.8 household-language denominator; additive only inside that table, never with another South Africa language measure.","Mutually exclusive within the coded Table 3.8 household-language denominator; additive only inside that table, never with another South Africa language measure.",,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
94,EXP-021,natural_language,South Africa Sesotho Latin-script edition,st-Latn-ZA,South Africa,,st-Latn-ZA,ZA-SOT-2022;ZA-S001,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.","Mutually exclusive within the coded Table 3.8 household-language denominator; additive only inside that table, never with another South Africa language measure.","Mutually exclusive within the coded Table 3.8 household-language denominator; additive only inside that table, never with another South Africa language measure.",,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
95,NAT-112,natural_language,Low German,nds-Latn-DE,Germany and separately diaspora,,nds-Latn-DE,,EDGE-GER-003,IL-GERM,natural_intercomprehension_reuse,coverage_candidate,exact_profile_tag,architecture_not_comprehension_claim,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",No pan-Germanic credit; named output only,Dutch Afrikaans and other Germanic communities,ACE-A021,low,"Exact matrix relations are listed for production reuse and evidence routing. Every matched row is currently non-rankable for demographic reach, so direct cross-language credit remains zero."
96,EXP-022,natural_language,South Africa Xitsonga Latin-script edition,ts-Latn-ZA,South Africa,,ts-Latn-ZA,ZA-TSO-2022;ZA-S001,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.","Mutually exclusive within the coded Table 3.8 household-language denominator; additive only inside that table, never with another South Africa language measure.","Mutually exclusive within the coded Table 3.8 household-language denominator; additive only inside that table, never with another South Africa language measure.",,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
